6.7s 1 /kaggle/input/cifar10-python/cifar-10-python.tar.gz
6.7s 2 /kaggle/input/cifar10-python/cifar-10-batches-py/data_batch_1
6.7s 3 /kaggle/input/cifar10-python/cifar-10-batches-py/data_batch_2
6.7s 4 /kaggle/input/cifar10-python/cifar-10-batches-py/batches.meta
6.7s 5 /kaggle/input/cifar10-python/cifar-10-batches-py/test_batch
6.7s 6 /kaggle/input/cifar10-python/cifar-10-batches-py/data_batch_3
6.7s 7 /kaggle/input/cifar10-python/cifar-10-batches-py/data_batch_5
6.7s 8 /kaggle/input/cifar10-python/cifar-10-batches-py/data_batch_4
6.7s 9 /kaggle/input/cifar10-python/cifar-10-batches-py/readme.html
10.4s 10 /opt/conda/lib/python3.10/site-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.16.5 and <1.23.0 is required for this version of SciPy (detected version 1.23.5
10.4s 11 warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
12.7s 12 Files already downloaded and verified
62.0s 13 [1, 200] loss: 2.449
7535.9s 186 [25, 1200] loss: 0.038
7574.6s 187 [25, 1400] loss: 0.036
7644.8s 188 [26, 200] loss: 0.036
7683.6s 189 [26, 400] loss: 0.025
7722.3s 190 [26, 600] loss: 0.042
7761.0s 191 [26, 800] loss: 0.037
7799.7s 192 [26, 1000] loss: 0.037
7838.4s 193 [26, 1200] loss: 0.049
7877.3s 194 [26, 1400] loss: 0.042
7948.3s 195 [27, 200] loss: 0.042
7987.0s 196 [27, 400] loss: 0.030
8025.7s 197 [27, 600] loss: 0.039
8064.4s 198 [27, 800] loss: 0.031
8103.2s 199 [27, 1000] loss: 0.030
8141.9s 200 [27, 1200] loss: 0.031
8180.5s 201 [27, 1400] loss: 0.032
8250.6s 202 [28, 200] loss: 0.030
8289.1s 203 [28, 400] loss: 0.028
8327.9s 204 [28, 600] loss: 0.032
8366.5s 205 [28, 800] loss: 0.032
8405.1s 206 [28, 1000] loss: 0.038
8443.8s 207 [28, 1200] loss: 0.036
8482.5s 208 [28, 1400] loss: 0.034
8552.7s 209 [29, 200] loss: 0.030
8591.2s 210 [29, 400] loss: 0.023
8629.9s 211 [29, 600] loss: 0.024
8668.4s 212 [29, 800] loss: 0.021
8707.2s 213 [29, 1000] loss: 0.031
8745.9s 214 [29, 1200] loss: 0.031
8784.6s 215 [29, 1400] loss: 0.026
8854.7s 216 [30, 200] loss: 0.033
8893.4s 217 [30, 400] loss: 0.027
8932.2s 218 [30, 600] loss: 0.024
8970.8s 219 [30, 800] loss: 0.022
9009.4s 220 [30, 1000] loss: 0.027
9048.0s 221 [30, 1200] loss: 0.028
9086.8s 222 [30, 1400] loss: 0.032
9157.1s 223 [31, 200] loss: 0.032
9195.7s 224 [31, 400] loss: 0.028
9234.4s 225 [31, 600] loss: 0.031
9273.1s 226 [31, 800] loss: 0.029
9311.9s 227 [31, 1000] loss: 0.024
9350.6s 228 [31, 1200] loss: 0.030
9389.3s 229 [31, 1400] loss: 0.030
9459.6s 230 [32, 200] loss: 0.024
9498.2s 231 [32, 400] loss: 0.021
9537.0s 232 [32, 600] loss: 0.017
9575.5s 233 [32, 800] loss: 0.024
9613.9s 234 [32, 1000] loss: 0.019
9652.3s 235 [32, 1200] loss: 0.024
9690.9s 236 [32, 1400] loss: 0.027
9760.7s 237 [33, 200] loss: 0.020
9799.1s 238 [33, 400] loss: 0.023
9837.4s 239 [33, 600] loss: 0.014
9875.7s 240 [33, 800] loss: 0.022
9914.2s 241 [33, 1000] loss: 0.020
9952.7s 242 [33, 1200] loss: 0.022
9991.0s 243 [33, 1400] loss: 0.020
10060.5s 244 [34, 200] loss: 0.029
10098.9s 245 [34, 400] loss: 0.020
10137.4s 246 [34, 600] loss: 0.018
10175.9s 247 [34, 800] loss: 0.022
10214.3s 248 [34, 1000] loss: 0.023
10252.6s 249 [34, 1200] loss: 0.026
10291.1s 250 [34, 1400] loss: 0.025
10360.6s 251 [35, 200] loss: 0.012
10399.1s 252 [35, 400] loss: 0.015
10437.5s 253 [35, 600] loss: 0.018
10475.9s 254 [35, 800] loss: 0.020
10514.3s 255 [35, 1000] loss: 0.022
10552.7s 256 [35, 1200] loss: 0.015
10591.2s 257 [35, 1400] loss: 0.015
10660.9s 258 [36, 200] loss: 0.013
10699.3s 259 [36, 400] loss: 0.016
10737.8s 260 [36, 600] loss: 0.013
10776.2s 261 [36, 800] loss: 0.018
10814.8s 262 [36, 1000] loss: 0.015
10853.2s 263 [36, 1200] loss: 0.016
10891.7s 264 [36, 1400] loss: 0.023
10961.4s 265 [37, 200] loss: 0.012
10999.8s 266 [37, 400] loss: 0.017
11038.3s 267 [37, 600] loss: 0.018
11076.7s 268 [37, 800] loss: 0.016
11115.1s 269 [37, 1000] loss: 0.023
11153.6s 270 [37, 1200] loss: 0.014
11192.0s 271 [37, 1400] loss: 0.013
11261.9s 272 [38, 200] loss: 0.009
11300.3s 273 [38, 400] loss: 0.012
11338.6s 274 [38, 600] loss: 0.009
11377.1s 275 [38, 800] loss: 0.010
11415.5s 276 [38, 1000] loss: 0.015
11454.1s 277 [38, 1200] loss: 0.009
11492.5s 278 [38, 1400] loss: 0.012
11562.2s 279 [39, 200] loss: 0.010
11600.6s 280 [39, 400] loss: 0.010
11639.0s 281 [39, 600] loss: 0.010
11677.6s 282 [39, 800] loss: 0.013
11715.9s 283 [39, 1000] loss: 0.014
11754.3s 284 [39, 1200] loss: 0.019
11792.8s 285 [39, 1400] loss: 0.008
11862.5s 286 [40, 200] loss: 0.009
11900.9s 287 [40, 400] loss: 0.011
11939.3s 288 [40, 600] loss: 0.011
11977.8s 289 [40, 800] loss: 0.007
12016.2s 290 [40, 1000] loss: 0.009
12054.7s 291 [40, 1200] loss: 0.012
12093.1s 292 [40, 1400] loss: 0.012
12162.9s 293 [41, 200] loss: 0.020
12201.2s 294 [41, 400] loss: 0.013
12239.6s 295 [41, 600] loss: 0.008
12278.1s 296 [41, 800] loss: 0.010
12316.5s 297 [41, 1000] loss: 0.019
12354.9s 298 [41, 1200] loss: 0.024
12393.4s 299 [41, 1400] loss: 0.012
12463.0s 300 [42, 200] loss: 0.010
12501.6s 301 [42, 400] loss: 0.014
12540.0s 302 [42, 600] loss: 0.011
12578.4s 303 [42, 800] loss: 0.011
12616.8s 304 [42, 1000] loss: 0.012
12655.2s 305 [42, 1200] loss: 0.024
12693.7s 306 [42, 1400] loss: 0.010
12763.3s 307 [43, 200] loss: 0.009
12801.6s 308 [43, 400] loss: 0.014
12840.1s 309 [43, 600] loss: 0.013
12878.4s 310 [43, 800] loss: 0.008
12917.0s 311 [43, 1000] loss: 0.010
12955.3s 312 [43, 1200] loss: 0.016
12993.8s 313 [43, 1400] loss: 0.012
13063.5s 314 [44, 200] loss: 0.011
13101.9s 315 [44, 400] loss: 0.013
13140.4s 316 [44, 600] loss: 0.012
13178.8s 317 [44, 800] loss: 0.014
13217.3s 318 [44, 1000] loss: 0.014
13255.7s 319 [44, 1200] loss: 0.010
13294.1s 320 [44, 1400] loss: 0.010
13363.9s 321 [45, 200] loss: 0.009
13402.3s 322 [45, 400] loss: 0.011
13440.7s 323 [45, 600] loss: 0.010
13479.1s 324 [45, 800] loss: 0.009
13517.5s 325 [45, 1000] loss: 0.008
13556.0s 326 [45, 1200] loss: 0.008
13594.4s 327 [45, 1400] loss: 0.009
13664.2s 328 [46, 200] loss: 0.012
13702.6s 329 [46, 400] loss: 0.007
13741.0s 330 [46, 600] loss: 0.007
13779.5s 331 [46, 800] loss: 0.010
13817.8s 332 [46, 1000] loss: 0.010
13856.2s 333 [46, 1200] loss: 0.010
13894.6s 334 [46, 1400] loss: 0.014
13964.3s 335 [47, 200] loss: 0.014
14002.8s 336 [47, 400] loss: 0.010
14041.3s 337 [47, 600] loss: 0.009
14079.7s 338 [47, 800] loss: 0.016
14118.2s 339 [47, 1000] loss: 0.012
14156.5s 340 [47, 1200] loss: 0.010
14195.1s 341 [47, 1400] loss: 0.015
14264.8s 342 [48, 200] loss: 0.009
14303.2s 343 [48, 400] loss: 0.014
14341.6s 344 [48, 600] loss: 0.015
14379.9s 345 [48, 800] loss: 0.009
14418.5s 346 [48, 1000] loss: 0.012
14456.9s 347 [48, 1200] loss: 0.017
14495.3s 348 [48, 1400] loss: 0.018
14565.0s 349 [49, 200] loss: 0.018
14603.5s 350 [49, 400] loss: 0.012
14642.0s 351 [49, 600] loss: 0.012
14680.3s 352 [49, 800] loss: 0.016
14718.7s 353 [49, 1000] loss: 0.014
14757.1s 354 [49, 1200] loss: 0.007
14795.5s 355 [49, 1400] loss: 0.009
14865.4s 356 [50, 200] loss: 0.009
14903.8s 357 [50, 400] loss: 0.009
14942.2s 358 [50, 600] loss: 0.006
14980.7s 359 [50, 800] loss: 0.014
15019.2s 360 [50, 1000] loss: 0.011
15057.7s 361 [50, 1200] loss: 0.013
15096.2s 362 [50, 1400] loss: 0.012
15165.9s 363 [51, 200] loss: 0.009
15204.3s 364 [51, 400] loss: 0.008
15242.7s 365 [51, 600] loss: 0.008
15281.2s 366 [51, 800] loss: 0.007
15319.6s 367 [51, 1000] loss: 0.007
15358.0s 368 [51, 1200] loss: 0.006
15396.5s 369 [51, 1400] loss: 0.007
15466.1s 370 [52, 200] loss: 0.005
15504.6s 371 [52, 400] loss: 0.007
15543.1s 372 [52, 600] loss: 0.007
15581.5s 373 [52, 800] loss: 0.004
15619.8s 374 [52, 1000] loss: 0.010
15658.3s 375 [52, 1200] loss: 0.008
15696.8s 376 [52, 1400] loss: 0.009
15766.4s 377 [53, 200] loss: 0.010
15804.8s 378 [53, 400] loss: 0.008
15843.3s 379 [53, 600] loss: 0.011
15881.8s 380 [53, 800] loss: 0.005
15920.2s 381 [53, 1000] loss: 0.007
15958.6s 382 [53, 1200] loss: 0.008
15997.1s 383 [53, 1400] loss: 0.007
16066.7s 384 [54, 200] loss: 0.008
16105.3s 385 [54, 400] loss: 0.005
16143.8s 386 [54, 600] loss: 0.006
16182.1s 387 [54, 800] loss: 0.003
16220.5s 388 [54, 1000] loss: 0.005
16258.9s 389 [54, 1200] loss: 0.006
16297.4s 390 [54, 1400] loss: 0.005
16367.2s 391 [55, 200] loss: 0.006
16405.7s 392 [55, 400] loss: 0.006
16444.1s 393 [55, 600] loss: 0.004
16482.6s 394 [55, 800] loss: 0.008
16521.1s 395 [55, 1000] loss: 0.007
16559.5s 396 [55, 1200] loss: 0.011
16597.9s 397 [55, 1400] loss: 0.009
16667.6s 398 [56, 200] loss: 0.007
16706.0s 399 [56, 400] loss: 0.010
16744.7s 400 [56, 600] loss: 0.005
16783.1s 401 [56, 800] loss: 0.006
16821.4s 402 [56, 1000] loss: 0.005
16859.8s 403 [56, 1200] loss: 0.009
16898.2s 404 [56, 1400] loss: 0.007
16968.0s 405 [57, 200] loss: 0.011
17006.4s 406 [57, 400] loss: 0.007
17044.8s 407 [57, 600] loss: 0.007
17083.2s 408 [57, 800] loss: 0.007
17121.7s 409 [57, 1000] loss: 0.007
17160.1s 410 [57, 1200] loss: 0.008
17198.5s 411 [57, 1400] loss: 0.008
17268.3s 412 [58, 200] loss: 0.008
17306.7s 413 [58, 400] loss: 0.008
17345.1s 414 [58, 600] loss: 0.011
17383.7s 415 [58, 800] loss: 0.005
17422.1s 416 [58, 1000] loss: 0.006
17460.4s 417 [58, 1200] loss: 0.007
17498.8s 418 [58, 1400] loss: 0.011
17568.5s 419 [59, 200] loss: 0.004
17607.0s 420 [59, 400] loss: 0.003
17645.4s 421 [59, 600] loss: 0.005
17683.9s 422 [59, 800] loss: 0.008
17722.3s 423 [59, 1000] loss: 0.008
17760.7s 424 [59, 1200] loss: 0.004
17799.2s 425 [59, 1400] loss: 0.007
17868.8s 426 [60, 200] loss: 0.003
17907.1s 427 [60, 400] loss: 0.004
17945.5s 428 [60, 600] loss: 0.007
17984.0s 429 [60, 800] loss: 0.007
18022.5s 430 [60, 1000] loss: 0.009
18060.8s 431 [60, 1200] loss: 0.008
18099.2s 432 [60, 1400] loss: 0.007
18168.8s 433 [61, 200] loss: 0.005
18207.2s 434 [61, 400] loss: 0.005
18245.7s 435 [61, 600] loss: 0.004
18284.2s 436 [61, 800] loss: 0.004
18322.5s 437 [61, 1000] loss: 0.007
18360.8s 438 [61, 1200] loss: 0.005
18399.1s 439 [61, 1400] loss: 0.007
18468.9s 440 [62, 200] loss: 0.006
18507.2s 441 [62, 400] loss: 0.004
18545.5s 442 [62, 600] loss: 0.003
18583.9s 443 [62, 800] loss: 0.005
18622.3s 444 [62, 1000] loss: 0.008
18660.7s 445 [62, 1200] loss: 0.005
18699.0s 446 [62, 1400] loss: 0.004
18768.6s 447 [63, 200] loss: 0.007
18807.0s 448 [63, 400] loss: 0.006
18845.4s 449 [63, 600] loss: 0.008
18883.9s 450 [63, 800] loss: 0.008
18922.3s 451 [63, 1000] loss: 0.005
18960.6s 452 [63, 1200] loss: 0.006
18999.0s 453 [63, 1400] loss: 0.008
19068.6s 454 [64, 200] loss: 0.005
19107.1s 455 [64, 400] loss: 0.004
19145.4s 456 [64, 600] loss: 0.004
19183.8s 457 [64, 800] loss: 0.005
19222.2s 458 [64, 1000] loss: 0.004
19260.5s 459 [64, 1200] loss: 0.005
19299.0s 460 [64, 1400] loss: 0.006
19368.6s 461 [65, 200] loss: 0.005
19407.0s 462 [65, 400] loss: 0.006
19445.4s 463 [65, 600] loss: 0.006
19483.7s 464 [65, 800] loss: 0.007
19522.2s 465 [65, 1000] loss: 0.006
19560.5s 466 [65, 1200] loss: 0.005
19598.9s 467 [65, 1400] loss: 0.003
19668.4s 468 [66, 200] loss: 0.004
19706.8s 469 [66, 400] loss: 0.004
19745.3s 470 [66, 600] loss: 0.005
19783.6s 471 [66, 800] loss: 0.004
19822.0s 472 [66, 1000] loss: 0.004
19860.3s 473 [66, 1200] loss: 0.005
19898.7s 474 [66, 1400] loss: 0.004
19968.4s 475 [67, 200] loss: 0.013
20006.8s 476 [67, 400] loss: 0.006
20045.2s 477 [67, 600] loss: 0.008
20083.6s 478 [67, 800] loss: 0.009
20121.9s 479 [67, 1000] loss: 0.005
20160.5s 480 [67, 1200] loss: 0.004
20198.9s 481 [67, 1400] loss: 0.008
20269.0s 482 [68, 200] loss: 0.004
20308.3s 483 [68, 400] loss: 0.004
20347.6s 484 [68, 600] loss: 0.004
20386.6s 485 [68, 800] loss: 0.004
20425.4s 486 [68, 1000] loss: 0.005
20464.1s 487 [68, 1200] loss: 0.009
20503.1s 488 [68, 1400] loss: 0.008
20573.8s 489 [69, 200] loss: 0.009
20612.6s 490 [69, 400] loss: 0.010
20651.4s 491 [69, 600] loss: 0.005
20690.2s 492 [69, 800] loss: 0.007
20729.0s 493 [69, 1000] loss: 0.002
20768.0s 494 [69, 1200] loss: 0.003
20806.8s 495 [69, 1400] loss: 0.005
20877.5s 496 [70, 200] loss: 0.004
20916.5s 497 [70, 400] loss: 0.004
20955.6s 498 [70, 600] loss: 0.003
20994.5s 499 [70, 800] loss: 0.004
21033.3s 500 [70, 1000] loss: 0.004
21072.3s 501 [70, 1200] loss: 0.004
21111.2s 502 [70, 1400] loss: 0.004
21181.8s 503 [71, 200] loss: 0.002
21220.7s 504 [71, 400] loss: 0.003
21259.7s 505 [71, 600] loss: 0.004
21298.6s 506 [71, 800] loss: 0.005
21337.6s 507 [71, 1000] loss: 0.002
21376.6s 508 [71, 1200] loss: 0.002
21415.5s 509 [71, 1400] loss: 0.002
21486.2s 510 [72, 200] loss: 0.004
21525.1s 511 [72, 400] loss: 0.003
21564.1s 512 [72, 600] loss: 0.004
21603.0s 513 [72, 800] loss: 0.003
21641.9s 514 [72, 1000] loss: 0.003
21680.8s 515 [72, 1200] loss: 0.003
21719.8s 516 [72, 1400] loss: 0.004
21790.5s 517 [73, 200] loss: 0.004
21829.5s 518 [73, 400] loss: 0.002
21868.4s 519 [73, 600] loss: 0.002
21907.3s 520 [73, 800] loss: 0.005
21946.4s 521 [73, 1000] loss: 0.002
21985.4s 522 [73, 1200] loss: 0.003
22024.3s 523 [73, 1400] loss: 0.003
22094.9s 524 [74, 200] loss: 0.007
22133.9s 525 [74, 400] loss: 0.004
22173.1s 526 [74, 600] loss: 0.002
22212.2s 527 [74, 800] loss: 0.004
22251.2s 528 [74, 1000] loss: 0.003
22290.3s 529 [74, 1200] loss: 0.003
22329.5s 530 [74, 1400] loss: 0.004
22400.8s 531 [75, 200] loss: 0.004
22439.8s 532 [75, 400] loss: 0.005
22478.8s 533 [75, 600] loss: 0.002
22517.9s 534 [75, 800] loss: 0.003
22557.1s 535 [75, 1000] loss: 0.003
22596.1s 536 [75, 1200] loss: 0.003
22635.2s 537 [75, 1400] loss: 0.004
22706.0s 538 [76, 200] loss: 0.001
22745.3s 539 [76, 400] loss: 0.003
22784.3s 540 [76, 600] loss: 0.005
22823.3s 541 [76, 800] loss: 0.005
22862.4s 542 [76, 1000] loss: 0.003
22901.3s 543 [76, 1200] loss: 0.002
22940.4s 544 [76, 1400] loss: 0.004
23011.0s 545 [77, 200] loss: 0.002
23049.9s 546 [77, 400] loss: 0.002
23088.8s 547 [77, 600] loss: 0.002
23127.8s 548 [77, 800] loss: 0.005
23166.6s 549 [77, 1000] loss: 0.004
23205.4s 550 [77, 1200] loss: 0.007
23244.4s 551 [77, 1400] loss: 0.008
23315.3s 552 [78, 200] loss: 0.005
23354.8s 553 [78, 400] loss: 0.005
23394.1s 554 [78, 600] loss: 0.007
23433.1s 555 [78, 800] loss: 0.005
23472.0s 556 [78, 1000] loss: 0.005
23511.1s 557 [78, 1200] loss: 0.005
23550.0s 558 [78, 1400] loss: 0.007
23620.7s 559 [79, 200] loss: 0.005
23659.8s 560 [79, 400] loss: 0.006
23699.0s 561 [79, 600] loss: 0.003
23738.4s 562 [79, 800] loss: 0.004
23777.6s 563 [79, 1000] loss: 0.005
23816.9s 564 [79, 1200] loss: 0.003
23856.2s 565 [79, 1400] loss: 0.006
23927.9s 566 [80, 200] loss: 0.006
23966.7s 567 [80, 400] loss: 0.002
24005.6s 568 [80, 600] loss: 0.005
24044.6s 569 [80, 800] loss: 0.008
24083.6s 570 [80, 1000] loss: 0.004
24122.6s 571 [80, 1200] loss: 0.004
24161.4s 572 [80, 1400] loss: 0.006
24232.7s 573 [81, 200] loss: 0.007
24271.9s 574 [81, 400] loss: 0.006
24311.2s 575 [81, 600] loss: 0.002
24350.1s 576 [81, 800] loss: 0.005
24389.1s 577 [81, 1000] loss: 0.005
24428.0s 578 [81, 1200] loss: 0.002
24467.0s 579 [81, 1400] loss: 0.003
24537.8s 580 [82, 200] loss: 0.005
24576.7s 581 [82, 400] loss: 0.001
24615.7s 582 [82, 600] loss: 0.001
24654.7s 583 [82, 800] loss: 0.002
24693.9s 584 [82, 1000] loss: 0.004
24732.9s 585 [82, 1200] loss: 0.004
24772.0s 586 [82, 1400] loss: 0.006
24842.9s 587 [83, 200] loss: 0.002
24882.0s 588 [83, 400] loss: 0.003
24921.2s 589 [83, 600] loss: 0.004
24960.2s 590 [83, 800] loss: 0.002
24999.2s 591 [83, 1000] loss: 0.002
